R,G,B,Red,Yellow,Blue,Black,White
222,235,210,0,2.1,2.1,0,100
188,195,186,0,2.1,2.1,1.05,100
191,198,190,0,2.1,2.1,1.05,100
189,197,188,0,2.1,2.1,1.05,100
193,200,191,0,2.1,2.1,1.05,100
192,199,189,0,2.1,2.1,1.05,100
172,179,174,0,2.1,2.1,2.1,100
172,179,175,0,2.1,2.1,2.1,100
175,182,178,0,2.1,2.1,2.1,100
175,182,178,0,2.1,2.1,2.1,100
176,183,178,0,2.1,2.1,2.1,100
210,227,209,0,2.1,3.15,0,100
213,230,211,0,2.1,3.15,0,100
210,228,209,0,2.1,3.15,0,100
213,230,211,0,2.1,3.15,0,100
214,229,212,0,2.1,3.15,0,100
186,195,188,0,2.1,3.15,1.05,100
189,199,192,0,2.1,3.15,1.05,100
190,199,192,0,2.1,3.15,1.05,100
189,198,191,0,2.1,3.15,1.05,100
189,198,191,0,2.1,3.15,1.05,100
240,242,200,0,3.15,0,0,100
241,243,199,0,3.15,0,0,100
240,242,200,0,3.15,0,0,100
241,243,199,0,3.15,0,0,100
239,241,199,0,3.15,0,0,100
194,199,184,0,3.15,0,1.05,100
192,197,182,0,3.15,0,1.05,100
195,200,185,0,3.15,0,1.05,100
195,200,185,0,3.15,0,1.05,100
195,199,184,0,3.15,0,1.05,100
176,182,173,0,3.15,0,2.1,100
177,182,174,0,3.15,0,2.1,100
176,182,173,0,3.15,0,2.1,100
177,183,175,0,3.15,0,2.1,100
175,180,172,0,3.15,0,2.1,100
161,167,162,0,3.15,0,3.15,100
163,169,164,0,3.15,0,3.15,100
161,167,162,0,3.15,0,3.15,100
162,167,163,0,3.15,0,3.15,100
160,165,161,0,3.15,0,3.15,100
228,237,202,0,3.15,1.05,0,100
227,236,203,0,3.15,1.05,0,100
228,238,204,0,3.15,1.05,0,100
227,237,203,0,3.15,1.05,0,100
229,238,205,0,3.15,1.05,0,100
189,195,184,0,3.15,1.05,1.05,100
190,195,185,0,3.15,1.05,1.05,100
189,195,185,0,3.15,1.05,1.05,100
191,196,185,0,3.15,1.05,1.05,100
189,195,185,0,3.15,1.05,1.05,100
172,178,173,0,3.15,1.05,2.1,100
173,180,174,0,3.15,1.05,2.1,100
172,178,173,0,3.15,1.05,2.1,100
174,180,175,0,3.15,1.05,2.1,100
172,178,172,0,3.15,1.05,2.1,100
220,235,205,0,3.15,2.1,0,100
220,234,204,0,3.15,2.1,0,100
218,233,204,0,3.15,2.1,0,100
217,231,203,0,3.15,2.1,0,100
217,231,202,0,3.15,2.1,0,100
187,194,185,0,3.15,2.1,1.05,100
187,194,185,0,3.15,2.1,1.05,100
185,193,184,0,3.15,2.1,1.05,100
185,192,183,0,3.15,2.1,1.05,100
184,192,182,0,3.15,2.1,1.05,100
240,242,196,0,4.2,0,0,100
240,242,194,0,4.2,0,0,100
241,243,195,0,4.2,0,0,100
240,242,196,0,4.2,0,0,100
243,245,196,0,4.2,0,0,100
196,201,185,0,4.2,0,1.05,100
195,200,183,0,4.2,0,1.05,100
195,200,183,0,4.2,0,1.05,100
193,198,182,0,4.2,0,1.05,100
196,200,183,0,4.2,0,1.05,100
179,184,173,0,4.2,0,2.1,100
178,184,173,0,4.2,0,2.1,100
178,183,172,0,4.2,0,2.1,100
